x,y,z, ,vx,vy,vz
0.0456066,1.2988,-0.00117294, ,0.101948,0.1,0.0455735
0.0473265,1.3005,-0.000368724, ,0.101173,0.1,0.0473066
0.0490328,1.3022,0.000464727, ,0.100369,0.1,0.0490265
0.0507249,1.30391,0.00132718, ,0.0995353,0.1,0.0507328
0.0524023,1.30561,0.00221841, ,0.0986729,0.1,0.0524249
0.0540646,1.30731,0.00313815, ,0.0977817,0.1,0.0541023
0.0557113,1.30901,0.00408615, ,0.0968619,0.1,0.0557646
0.0573418,1.31071,0.00506214, ,0.0959139,0.1,0.0574113
0.0589558,1.31241,0.00606585, ,0.0949379,0.1,0.0590418
0.0605526,1.31411,0.007097, ,0.0939342,0.1,0.0606558
0.062132,1.31581,0.00815529, ,0.0929031,0.1,0.0622527
0.0636934,1.31751,0.00924044, ,0.0918448,0.1,0.063832
0.0652363,1.31921,0.0103521, ,0.0907596,0.1,0.0653934
0.0667603,1.32091,0.01149, ,0.0896479,0.1,0.0669363
0.068265,1.32261,0.0126539, ,0.08851,0.1,0.0684603
0.0697498,1.32431,0.0138433, ,0.0873462,0.1,0.069965
0.0712145,1.32601,0.0150579, ,0.0861568,0.1,0.0714498
0.0726585,1.32771,0.0162975, ,0.0849421,0.1,0.0729145
0.0740815,1.32941,0.0175616, ,0.0837026,0.1,0.0743585
0.0754829,1.33111,0.0188498, ,0.0824385,0.1,0.0757815
0.0768625,1.33281,0.020162, ,0.0811502,0.1,0.0771829
0.0782197,1.33451,0.0214975, ,0.0798381,0.1,0.0785625
0.0795543,1.33621,0.0228562, ,0.0785026,0.1,0.0799197
0.0808657,1.33791,0.0242375, ,0.0771439,0.1,0.0812543
0.0821537,1.33961,0.0256411, ,0.0757626,0.1,0.0825657
0.0834178,1.34131,0.0270666, ,0.074359,0.1,0.0838537
0.0846576,1.34301,0.0285136, ,0.0729335,0.1,0.0851178
0.0858729,1.34471,0.0299817, ,0.0714865,0.1,0.0863577
0.0870632,1.34641,0.0314704, ,0.0700184,0.1,0.0875729
0.0882282,1.34811,0.0329794, ,0.0685297,0.1,0.0887632
0.0893676,1.34981,0.0345082, ,0.0670207,0.1,0.0899282
0.0904809,1.35151,0.0360563, ,0.0654919,0.1,0.0910676
0.091568,1.35321,0.0376234, ,0.0639438,0.1,0.092181
0.0926284,1.35491,0.039209, ,0.0623767,0.1,0.093268
0.0936618,1.35661,0.0408126, ,0.0607911,0.1,0.0943284
0.094668,1.35831,0.0424337, ,0.0591875,0.1,0.0953619
0.0956467,1.36001,0.044072, ,0.0575664,0.1,0.096368
0.0965974,1.36171,0.0457269, ,0.0559281,0.1,0.0973467
0.0975201,1.36341,0.0473979, ,0.0542732,0.1,0.0982974
0.0984143,1.36511,0.0490847, ,0.0526022,0.1,0.0992201
0.0992799,1.36681,0.0507866, ,0.0509154,0.1,0.100114
0.100117,1.36851,0.0525033, ,0.0492135,0.1,0.10098
0.100924,1.37021,0.0542341, ,0.0474968,0.1,0.101817
0.101702,1.37191,0.0559787, ,0.045766,0.1,0.102624
0.10245,1.37361,0.0577366, ,0.0440213,0.1,0.103402
0.103169,1.37531,0.0595071, ,0.0422635,0.1,0.10415
0.103857,1.37701,0.0612899, ,0.040493,0.1,0.104869
0.104515,1.37871,0.0630844, ,0.0387102,0.1,0.105557
0.105143,1.38041,0.06489, ,0.0369157,0.1,0.106215
0.10574,1.38211,0.0667064, ,0.0351101,0.1,0.106843
0.106306,1.38381,0.0685328, ,0.0332937,0.1,0.10744
0.106841,1.38551,0.0703689, ,0.0314672,0.1,0.108006
0.107344,1.38721,0.0722141, ,0.0296312,0.1,0.108541
0.107817,1.38891,0.0740679, ,0.027786,0.1,0.109044
0.108258,1.39061,0.0759297, ,0.0259322,0.1,0.109517
0.108667,1.39231,0.0777989, ,0.0240704,0.1,0.109958
0.109044,1.39401,0.0796752, ,0.0222011,0.1,0.110367
0.10939,1.39571,0.0815578, ,0.0203249,0.1,0.110744
0.109703,1.39741,0.0834464, ,0.0184423,0.1,0.11109
0.109985,1.39911,0.0853402, ,0.0165537,0.1,0.111403
0.110234,1.40081,0.0872389, ,0.0146599,0.1,0.111685
0.110451,1.40251,0.0891417, ,0.0127612,0.1,0.111934
0.110635,1.40421,0.0910483, ,0.0108584,0.1,0.112151
