x,y,z, ,vx,vy,vz
11.786,4.9245,0, ,10,-1.56205,0
11.869,4.91086,0, ,10,-1.64348,0
11.952,4.89655,0, ,10,-1.7249,0
12.035,4.88155,0, ,10,-1.80632,0
12.118,4.86589,0, ,10,-1.88775,0
12.201,4.84954,0, ,10,-1.96917,0
12.284,4.83252,0, ,10,-2.05059,0
12.367,4.81483,0, ,10,-2.13201,0
12.45,4.79645,0, ,10,-2.21344,0
12.533,4.77741,0, ,10,-2.29486,0
12.616,4.75768,0, ,10,-2.37628,0
12.699,4.73728,0, ,10,-2.45771,0
12.782,4.71621,0, ,10,-2.53913,0
12.865,4.69446,0, ,10,-2.62055,0
12.948,4.67203,0, ,10,-2.70198,0
13.031,4.64893,0, ,10,-2.7834,0
13.114,4.62515,0, ,10,-2.86482,0
13.197,4.6007,0, ,10,-2.94625,0
13.28,4.57557,0, ,10,-3.02767,0
13.363,4.54976,0, ,10,-3.10909,0
13.446,4.52328,0, ,10,-3.19051,0
13.529,4.49613,0, ,10,-3.27194,0
13.612,4.46829,0, ,10,-3.35336,0
13.695,4.43978,0, ,10,-3.43478,0
13.778,4.4106,0, ,10,-3.51621,0
13.861,4.38074,0, ,10,-3.59763,0
13.944,4.3502,0, ,10,-3.67905,0
14.027,4.31899,0, ,10,-3.76048,0
14.11,4.2871,0, ,10,-3.8419,0
14.193,4.25454,0, ,10,-3.92332,0
14.276,4.2213,0, ,10,-4.00474,0
14.359,4.18739,0, ,10,-4.08617,0
14.442,4.15279,0, ,10,-4.16759,0
14.525,4.11753,0, ,10,-4.24901,0
14.608,4.08158,0, ,10,-4.33044,0
14.691,4.04497,0, ,10,-4.41186,0
14.774,4.00767,0, ,10,-4.49328,0
14.857,3.9697,0, ,10,-4.5747,0
14.94,3.93106,0, ,10,-4.65613,0
15.023,3.89173,0, ,10,-4.73755,0
15.106,3.85174,0, ,10,-4.81897,0
15.189,3.81106,0, ,10,-4.9004,0
15.272,3.76971,0, ,10,-4.98182,0
15.355,3.72769,0, ,10,-5.06324,0
15.438,3.68499,0, ,10,-5.14466,0
15.521,3.64161,0, ,10,-5.22609,0
